key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-411626868,From reporting to relating: Reimagining ePROMs in cancer symptom management,2026,,,Social Science and Medicine,,389,,,"Schaepe, K.S. and Griffin, J.M. and Ridgeway, J.L. and Pachman, D.R. and Ruddy, K.J. and Minteer, S. and Mitchell, S.A. and Finney-Rutten, L.J. and Cheville, A.L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023365626&doi=10.1016%2Fj.socscimed.2025.118765&partnerID=40&md5=9356b592657b6d77ee8428b6cc6f315d,,,,,"Export Date: 08 January 2026; Cited By: 0 | RAYYAN-INCLUSION: {""Mateo""=>""Excluded"", ""Daniel""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong outcome,wrong population",10.1016/j.socscimed.2025.118765,"Boundary objects;Cancer care;Electronic patient-reported outcome measures;Patient-provider communication;Qualitative research;SPPADE symptoms;Symptom management;cancer;coping strategy;physical activity;qualitative analysis;aged;Article;cancer symptom;clinical outcome;clinical practice;coping;disease severity;electronic health record;electronic patient reported outcome measure;exercise;female;health care management;human;human experiment;in depth interview;interview;male;malignant neoplasm;oncology;patient-reported outcome;qualitative research;self monitoring;semi structured interview;adult;complication;middle aged;neoplasm;procedures;psychological adjustment;psychology;therapy;Adaptation, Psychological;Adult;Aged;Female;Humans;Interviews as Topic;Male;Middle Aged;Neoplasms;Patient Reported Outcome Measures;Qualitative Research",,
rayyan-411626869,Enhancing cardiovascular health in older adults by combining positive psychology and lifestyle intervention (the ACCOMPLI-CH Study): A mixed-methods feasibility trial,2026,,,Geriatric Nursing,,67,,,"Zhai, B. and Liu, X. and Fu, J. and Xie, K. and Zhu, X. and Li, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022055964&doi=10.1016%2Fj.gerinurse.2025.103713&partnerID=40&md5=ea1a8de98bfc501abc4afc30d04541aa,,,,,"Export Date: 08 January 2026; Cited By: 0 | RAYYAN-INCLUSION: {""Mateo""=>""Excluded"", ""Daniel""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong outcome,wrong population",10.1016/j.gerinurse.2025.103713,Cardiovascular health;Feasibility study;Lifestyle intervention;Mixed-methods;Positive psychological intervention;adult;aged;anxiety;Article;cardiovascular health;cardiovascular risk;clinical article;depression;exercise;feasibility study;female;health;health behavior;health literacy;health status;human;lifestyle;male;mental stress;nutrition;obesity;patient compliance;Pittsburgh Sleep Quality Index;positive psychology;psychological well-being;risk factor;semi structured interview;sleep quality,,
rayyan-411626871,A qualitative study assessing acceptability and appropriateness of a technology-assisted mental health intervention by community frontline workers: mPareshan implementation research in rural Pakistan,2025,,,BMC Psychiatry,,25,1,,"Akhtar, S. and Rabbani, F. and Nafis, J. and Siddiqui, A. and Merali, Z.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214211788&doi=10.1186%2Fs12888-024-06459-8&partnerID=40&md5=66e9850826f3ed238533afaa08026154,,,,,"Export Date: 08 January 2026; Cited By: 3 | RAYYAN-INCLUSION: {""Mateo""=>""Excluded"", ""Daniel""=>""Included""} | RAYYAN-EXCLUSION-REASONS: wrong outcome",10.1186/s12888-024-06459-8,Acceptability;Adoption;Appropriateness;Lady health workers;Mental health;mHealth;adult;anxiety disorder;Article;automutilation;breathing exercise;clinical article;controlled study;counseling;depression;female;frontline staff;Generalized Anxiety Disorder-7;health auxiliary;human;interview;male;mental disease;mental health;Pakistan;Patient Health Questionnaire 9;perception;psychoeducation;qualitative research;suicidal ideation;workload;anxiety;information processing;mental health service;middle aged;mobile application;patient attitude;psychology;rural population;telemedicine;therapy;Adult;Anxiety;Community Health Workers;Depression;Female;Focus Groups;Humans;Male;Mental Health Services;Middle Aged;Mobile Applications;Patient Acceptance of Health Care;Qualitative Research;Rural Population;Telemedicine,,
rayyan-411626872,A Phenomenological Study of the Lived Illness Experience of Adolescents with Chronic Glomerular Disease,2025,,,Children,,12,12,,"Lee, S.Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025886158&doi=10.3390%2Fchildren12121671&partnerID=40&md5=5d6853a3ca87151ade60f6030332d6b5,,,,,"Export Date: 08 January 2026; Cited By: 0 | RAYYAN-INCLUSION: {""Mateo""=>""Excluded"", ""Daniel""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population",10.3390/children12121671,adolescent;chronic glomerular disease;lived experience;nephrotic syndrome;resilience;adolescent;adult;anxiety;Article;awareness;chronic kidney failure;clinical article;cognition;depression;edema;estimated glomerular filtration rate;exercise;fear;female;follow up;gesture;glomerulonephritis;glomerulopathy;hematuria;hopelessness;hospitalization;human;immunoglobulin A nephropathy;lifestyle;male;nephritis;nephrotic syndrome;outpatient;phenomenology;physical activity;proteinuria;psychologist;quality of life;sensitivity analysis;social interaction;swelling;tension,,
rayyan-411626873,A population-based survey of beliefs about neck pain and its associated disorders: a cross-sectional study,2025,,,BMC Musculoskeletal Disorders,,26,1,,"Forte, M. and Nasti, F. and Schiavone, S. and Cioeta, M. and Lullo, G. and Cataldi, F. and Giovannico, G. and Maselli, F. and Young, I. and Dunning, J. and Feller, D. and Mourad, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025172593&doi=10.1186%2Fs12891-025-09328-x&partnerID=40&md5=4e438c381655bcf005c9dc883b2a5ca4,,,,,"Export Date: 08 January 2026; Cited By: 0 | RAYYAN-INCLUSION: {""Mateo""=>""Excluded"", ""Daniel""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population",10.1186/s12891-025-09328-x,"Chronic pain;Culture;Health belief model;Patient-centered care;Prognosis;adult;aged;anxiety;Article;chronic pain;coping;cross-sectional study;diseases;drug therapy;employment;expectation;female;health belief;Health Belief Model;health survey;human;Italian (citizen);layperson;linear regression analysis;major clinical study;male;marriage;middle aged;neck pain;outcome assessment;pain;paresthesia;person centered care;pessimism;physiological stress;population based case control study;prognosis;qualitative research;quality of life;questionnaire;social media;whiplash injury;white collar worker;work capacity;attitude to health;diagnosis;epidemiology;Italy;population surveillance;procedures;psychology;therapy;Adult;Cross-Sectional Studies;Female;Health Knowledge, Attitudes, Practice;Humans;Male;Middle Aged;Neck Pain;Population Surveillance;Quality of Life;Surveys and Questionnaires;Whiplash Injuries",,
rayyan-411626874,Does Preliminary Chest Shape Assessment Improve the Prognostic Risk Stratification of Symptomatic Individuals with Primary Mitral Regurgitation? A Narrative Review of Traditional and Innovative Prognostic Indicators,2025,,,Journal of Clinical Medicine,,14,23,,"Sonaglioni, A. and Nicolosi, G.L. and Lombardo, M. and Baravelli, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024594070&doi=10.3390%2Fjcm14238297&partnerID=40&md5=ac3eb2cc1840efb771c6662473ffc110,,,,,"Export Date: 08 January 2026; Cited By: 0 | RAYYAN-INCLUSION: {""Mateo""=>""Excluded"", ""Daniel""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population",10.3390/jcm14238297,exercise stress echocardiography;mitral annular disjunction;myocardial strain parameters;primary mitral regurgitation;prognostic risk stratification,,
rayyan-411626875,Competitive athletes’ psychological and emotional experiences of injury rehabilitation: a scoping review,2025,,,Systematic Reviews,,14,1,,"Jaekel, H.R. and de Barro, C.A. and Crozier, A.J. and Tomkinson, G.R. and Ridgers, N.D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024120668&doi=10.1186%2Fs13643-025-02986-x&partnerID=40&md5=990a499c753a7f77467619751fa78d1d,,,,,"Export Date: 08 January 2026; Cited By: 0 | RAYYAN-INCLUSION: {""Mateo""=>""Excluded"", ""Daniel""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population,wrong study design",10.1186/s13643-025-02986-x,"Athletes;Athletic injuries;Coping skills;Emotions;Goals;Mental health;Social support;Sport;anger;anterior cruciate ligament injury;anxiety;Article;competitive athlete;counseling;depression;emotion;experience;fear;frustration;human;injury;injury severity;loneliness;mental health;meta analysis;motivation;outcome assessment;physical activity;physiotherapist;physiotherapy;Preferred Reporting Items for Systematic Reviews and Meta-Analyses;Profile of Mood States;psychological and emotional experience;psychological well-being;psychology;qualitative analysis;quantitative analysis;scoring system;shock;social psychology;social support;soft tissue injury;sport injury;sports injury rehabilitation beliefs;sports injury rehabilitation beliefs survey;systematic review;Tegner activity score;training;athlete;psychological adjustment;rehabilitation;Adaptation, Psychological;Athletes;Athletic Injuries;Emotions;Humans;Social Support",,
rayyan-411626876,Atrial fibrillation and primary care prevention and rehabilitation – a feasibility study,2025,,,Pilot and Feasibility Studies,,11,1,,"Elnegaard, C.M. and Pedersen, M.K. and Zwisler, A.-D.O. and Borregaard, B. and Eilsø, J.F. and Sommer, T. and Tveskov, C. and Hendriks, J.M. and Brandes, A. and Risom, S.S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023136045&doi=10.1186%2Fs40814-025-01724-3&partnerID=40&md5=4d3c863d80cf10f4e07ef126bea24ef5,,,,,"Export Date: 08 January 2026; Cited By: 0 | RAYYAN-INCLUSION: {""Mateo""=>""Excluded"", ""Daniel""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population,wrong study design",10.1186/s40814-025-01724-3,Atrial fibrillation;Complex intervention;Feasibility;Mixed-methods;Prevention;Primary healthcare;Rehabilitation;adult;aged;anxiety disorder;Article;atrial fibrillation;CHA2DS2-VASc score;clinical article;clinical outcome;depression;descriptive research;diabetes mellitus;exercise;feasibility study;female;heart rehabilitation;Hospital Anxiety and Depression Scale;human;hypertension;male;obesity;patient education;patient-reported outcome;physical inactivity;primary medical care;prophylaxis;prospective study;psychosocial care;qualitative analysis;quality of life;quantitative analysis;questionnaire;randomized controlled trial;risk factor;six minute walk test;sleep apnea syndromes;university hospital;yoga,,
rayyan-411626877,Perceived feasibility and acceptability of an innovative emotion regulation programme with physical activity elements for older South African adolescents from low-income settings: a qualitative study,2025,,,BMC Pediatrics,,25,1,,"Ward-Smith, C. and Sorsdahl, K. and Berking, M. and Van Der Westhuizen, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021433989&doi=10.1186%2Fs12887-025-06280-6&partnerID=40&md5=85e5d513f9fc793482d6bba3124e52c4,,,,,"Export Date: 08 January 2026; Cited By: 0 | RAYYAN-INCLUSION: {""Mateo""=>""Excluded"", ""Daniel""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population",10.1186/s12887-025-06280-6,Adolescent mental health;Anxiety;Depression;Emotion regulation;Mental health interventions;adolescent;adult;anxiety;Article;clinical trial;emotion regulation;emotion regulation programme;female;health program;human;human experiment;patient health questionnaire;physical activity;qualitative research;semi structured interview;young adult;depression;exercise;feasibility study;male;mental health;patient attitude;pilot study;poverty;prevention and control;psychology;South Africa;Adolescent;Depression;Emotional Regulation;Exercise;Feasibility Studies;Female;Humans;Male;Mental Health;Patient Acceptance of Health Care;Pilot Projects;Poverty;Qualitative Research,,
rayyan-411626878,A qualitative exploration of the factors influencing physical activity engagement among Black individuals with heart failure in South Florida,2025,,,BMC Public Health,,25,1,,"Prince, T.B. and Roach, K.E. and Kirk-Sanchez, N.J. and Cohen, M.I. and Cahalin, L.P. and Dale, S.K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020755877&doi=10.1186%2Fs12889-025-24945-w&partnerID=40&md5=24bcad890d35be1b3a3fde1758f46b4c,,,,,"Export Date: 08 January 2026; Cited By: 0 | RAYYAN-INCLUSION: {""Mateo""=>""Excluded"", ""Daniel""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population",10.1186/s12889-025-24945-w,"Barriers;Black individuals;Health beliefs;Heart failure;Physical activity;adult;African American;aged;attitude to health;Caucasian;ethnology;exercise;female;Florida;health literacy;heart failure;human;interview;male;middle aged;psychology;qualitative research;self concept;social support;therapy;Adult;Aged;Black or African American;Exercise;Female;Health Knowledge, Attitudes, Practice;Health Literacy;Heart Failure;Humans;Interviews as Topic;Male;Middle Aged;Qualitative Research;Self Efficacy;Social Support;White",,
